,index,LONGITUDE,LATITUDE
11015,262,-7360.497299998999,4864837.920500003
905,263,-7501.221900001168,4864863.072899997
13829,264,-7323.891800001264,4864818.059199996
17888,265,-7603.154500000179,4864981.489799999
6108,266,-7435.065400000662,4864861.6708
4223,267,-7466.445299256593,4864859.364375353
16384,268,-7641.81230000034,4864922.313900001
3104,269,-7404.4642999991775,4864809.152999997
19522,270,-7375.148099999875,4864773.736500002
16329,271,-7640.976199999452,4865010.659500003
14710,272,-7381.686900001019,4864845.7553
5285,273,-7435.067499998957,4864878.1545
9169,274,-7386.70956633985,4864847.370468892
8997,275,-7616.688900001347,4864976.028099999
10407,276,-7587.102299999446,4864986.090999998
7891,277,-7528.608068633825,4864959.505251184
10537,278,-7386.70956633985,4864847.370468892
13888,279,-7314.132500000298,4864816.752599999
15009,280,-7359.331099998206,4864837.273500003
16506,281,-7634.477000001818,4864984.097499996
16137,282,-7667.351799998432,4864936.670500003
18493,283,-7656.762800000608,4864938.025799997
14427,284,-7527.402600001544,4864929.238300003
18282,285,-7637.256999999285,4864949.814300001
9103,286,-7636.6660999991,4864991.7337
19397,287,-7503.662099998444,4864884.812600002
3109,288,-7370.010699998587,4864847.7535
2006,289,-7366.095899999142,4864845.581600003
18762,290,-7352.348799999803,4864837.954700001
19240,291,-7324.582886133343,4864813.8198470175
7590,292,-7615.527699999511,4864982.2821
5335,293,-7364.838899999857,4864844.884199999
9387,294,-7676.627099998295,4864934.035599999
1693,295,-7366.2424000017345,4864841.108000003
16315,296,-7637.728900000453,4864903.183399998
13867,297,-7390.184700001031,4864838.919100001
16723,298,-7675.371700000018,4864932.7897000015
7883,299,-7527.402600001544,4864929.238300003
3292,300,-7435.990200001746,4864891.204000004
19234,301,-7320.078899998218,4864794.327799998
2499,302,-7348.898200001568,4864756.556000002
5940,303,-7314.611699998379,4864800.712399997
11307,304,-7641.573199998587,4865008.853
15988,305,-7637.839099999517,4865000.615699999
6828,306,-7345.411800000817,4864829.551200002
8838,307,-7327.929099999368,4864824.406999998
17318,308,-7616.688900001347,4864976.028099999
15288,309,-7425.661100000143,4864873.132700004
17222,310,-7669.247800000012,4864936.126800001
2574,311,-7404.705499999225,4864787.466200002
6016,312,-7432.44810000062,4864883.152999997
13930,313,-7559.78200000152,4864871.373499997
14992,314,-7469.88919999823,4864815.057400003
9912,315,-7609.25039999932,4864978.160700001
9629,316,-7377.846599999815,4864852.802199997
11899,317,-7408.338870193809,4864811.529825352
12155,318,-7489.919799998403,4864901.890000001
8575,319,-7603.565099999309,4864979.790100001
15588,320,-7441.93419342488,4864872.437265873
5452,321,-7457.75549999997,4864815.285700001
4092,322,-7456.977499999106,4864830.765100002
6336,323,-7390.548551443964,4864840.4913816005
6612,324,-7385.426100000739,4864839.015600003
19560,325,-7404.835700001568,4864808.159000002
17524,326,-7637.556499999016,4864907.466200002
14936,327,-7456.977499999106,4864830.765100002
3604,328,-7383.670200001448,4864842.180799998
15584,329,-7426.627799998969,4864896.057800002
7953,330,-7321.038300000131,4864820.583800003
15837,331,-7634.477000001818,4864984.097499996
7146,332,-7650.165600001812,4864937.056900002
17579,333,-7641.573199998587,4865008.853
2925,334,-7314.109499998391,4864816.739699997
13120,335,-7317.526099998504,4864794.559299998
1064,336,-7391.35909999907,4864782.1516999975
16580,337,-7641.28579999879,4864920.750600003
12976,338,-7360.497299998999,4864837.920500003
1771,339,-7312.662200000137,4864807.624899998
9542,340,-7611.129000000656,4864977.622000001
3992,341,-7429.617124881595,4864899.692378685
11823,342,-7335.376827798784,4864753.120739415
13663,343,-7316.4574000015855,4864800.7843
3868,344,-7414.916941028088,4864881.27501066
7729,345,-7669.247800000012,4864936.126800001
4774,346,-7333.069099999964,4864771.151100002
17564,347,-7596.20320000127,4864981.900200002
15607,348,-7432.44810000062,4864883.152999997
19765,349,-7559.637499999255,4864871.639600001
5661,350,-7453.059500001371,4864828.6049000025
15829,351,-7587.102299999446,4864986.090999998
2299,352,-7362.52650000155,4864764.065700002
19399,353,-7503.662099998444,4864884.812600002
19254,354,-7384.673000000417,4864840.373300001
16796,355,-7644.034899998456,4864930.066799998
14982,356,-7423.060899998993,4864877.686099999
16975,357,-7637.002300001681,4864905.532300003
10032,358,-7639.690999999642,4864914.912799999
1683,359,-7375.028700001538,4864855.459899999
19708,360,-7394.577824883163,4864836.924705662
17802,361,-7637.002300001681,4864905.532300003
13710,362,-7390.184700001031,4864838.919100001
19209,363,-7359.331099998206,4864837.273500003
578,364,-7511.736699998379,4864841.647200003
8433,365,-7366.751436967403,4864837.214649305
334,366,-7533.89620000124,4864939.258299999
4888,367,-7300.818990092725,4864817.599367015
5600,368,-7411.353135820478,4864802.929530874
10456,369,-7603.565099999309,4864979.790100001
17924,370,-7661.753100000322,4864938.275399998
5507,371,-7318.694800000638,4864795.302100003
8453,372,-7615.527699999511,4864982.2821
676,373,-7521.867186445743,4864889.477093995
13974,374,-7372.802999999374,4864849.302699998
6431,375,-7380.90700000152,4864847.1611
782,376,-7562.186200000346,4864866.785099998
11052,377,-7526.391455613077,4864919.34785118
18951,378,-7353.466112487018,4864840.961771078
1796,379,-7327.492165092379,4864766.668530561
13203,380,-7318.160399999469,4864814.879600003
14815,381,-7332.108800001442,4864822.170999996
8983,382,-7634.477000001818,4864984.097499996
6002,383,-7424.812344465405,4864862.992156811
13854,384,-7562.192000001669,4864866.7744999975
8138,385,-7596.20320000127,4864981.900200002
15058,386,-7425.090500000864,4864858.286499999
15519,387,-7367.458799999207,4864841.782799996
3168,388,-7384.393399998546,4864778.2870000005
4064,389,-7353.723400000483,4864834.1625000015
8774,390,-7516.413621235639,4864937.650390036
9274,391,-7381.686900001019,4864845.7553
2836,392,-7345.42330000177,4864829.557700001
19373,393,-7470.539500001818,4864863.624300003
4770,394,-7342.435300000012,4864756.9575999975
1955,395,-7336.2989999987185,4864829.050399996
5752,396,-7333.069099999964,4864769.216300003
9457,397,-7594.736999999732,4864983.902400002
9127,398,-7636.080099999905,4864897.526100002
10449,399,-7633.469399999827,4864965.338399999
6939,400,-7458.26419999823,4864852.0842999965
13481,401,-7383.733100000769,4864842.191699997
533,402,-7363.038300000131,4864766.439499997
18841,403,-7316.835799999535,4864813.697499998
469,404,-7506.731899999082,4864850.684
10304,405,-7643.993799999356,4864930.197999999
3764,406,-7327.929099999368,4864824.406999998
4944,407,-7527.402600001544,4864929.238300003
19386,408,-7474.607500001788,4864866.886100002
9214,409,-7309.517499998212,4864813.293499999
1266,410,-7384.393399998546,4864778.2870000005
4996,411,-7519.111800000071,4864949.509800002
7994,412,-7360.497299998999,4864837.920500003
12034,413,-7388.524687383324,4864770.582154624
7831,414,-7375.028700001538,4864855.459899999
3783,415,-7330.786899998784,4864821.437299997
11663,416,-7332.108800001442,4864822.170999996
7633,417,-7641.329799998552,4864920.629500002
15424,418,-7359.331099998206,4864837.273500003
8496,419,-7641.329799998552,4864920.629500002
13718,420,-7330.668299999088,4864825.926600002
15949,421,-7641.573199998587,4865008.853
16334,422,-7622.054600000381,4864976.294200003
1566,423,-7527.451099999249,4864929.146399997
10461,424,-7601.616200000048,4864980.348899998
15649,425,-7336.2989999987185,4864829.050399996
16418,426,-7628.134500000626,4864977.021200001
6540,427,-7359.297899998724,4864837.255099997
18201,428,-7676.643599998206,4864934.006999999
19114,429,-7329.403700001538,4864820.6699
1544,430,-7564.196299999952,4864887.1932
10595,431,-7526.391455613077,4864919.34785118
17782,432,-7682.559099998325,4864932.3116
7926,433,-7390.620600000024,4864836.055799998
14727,434,-7391.930192384869,4864841.240641914
14229,435,-7316.867199998349,4864813.714900002
14725,436,-7317.012499999255,4864795.1489999965
7723,437,-7636.622600000352,4864899.4196000025
15481,438,-7426.483600001782,4864899.974799998
9312,439,-7312.981300000101,4864798.747699998
8248,440,-7535.450800001621,4864931.182300001
2471,441,-7404.705499999225,4864787.466200002
19268,442,-7377.078269988298,4864842.961438999
15138,443,-7474.5538000017405,4864866.856399998
11180,444,-7636.205699998885,4864967.330200002
10885,445,-7636.622600000352,4864899.4196000025
4444,446,-7363.986104570329,4864850.150565036
10380,447,-7628.134500000626,4864977.021200001
13612,448,-7555.068599998951,4864885.213299997
5394,449,-7411.353135820478,4864802.929530874
4129,450,-7436.454791653901,4864896.600603372
17416,451,-7643.2014999985695,4864947.990599997
4347,452,-7359.331099998206,4864837.273500003
3602,453,-7390.184700001031,4864838.919100001
11417,454,-7661.753100000322,4864938.275399998
16578,455,-7643.993799999356,4864930.197999999
11518,456,-7510.211205821484,4864949.287095763
4297,457,-7381.686900001019,4864845.7553
18973,458,-7324.582886133343,4864813.8198470175
12484,459,-7489.919799998403,4864901.890000001
8361,460,-7390.620600000024,4864836.055799998
4096,461,-7468.870245195925,4864827.937682956
19626,462,-7537.321899998933,4864895.775700003
18344,463,-7647.626299999654,4864944.457699999
7913,464,-7578.46197155118,4864869.381579727
15095,465,-7469.88919999823,4864815.057400003
3405,466,-7450.481994569302,4864817.724448785
13825,467,-7312.662200000137,4864807.624899998
6665,468,-7457.242100000381,4864853.930299997
18817,469,-7367.409899998456,4864841.755599998
7363,470,-7669.247800000012,4864936.126800001
6982,471,-7377.830699998885,4864852.706600003
18193,472,-7636.080099999905,4864897.526100002
5456,473,-7457.242100000381,4864853.930299997
19800,474,-7496.900899998844,4864897.221900001
17627,475,-7633.386599998921,4864970.1708
6079,476,-7333.069099999964,4864771.151100002
17451,477,-7637.256999999285,4864949.814300001
14463,478,-7370.01060000062,4864847.753600001
3989,479,-7436.454791653901,4864896.600603372
8397,480,-7315.743400000036,4864802.071500003
9809,481,-7622.054600000381,4864976.294200003
11514,482,-7516.413621235639,4864937.650390036
16726,483,-7648.530400000513,4864942.806100003
13610,484,-7562.192000001669,4864866.774599999
12194,485,-7316.4574000015855,4864800.7843
5642,486,-7366.256599999964,4864841.115900002
19082,487,-7384.673000000417,4864840.373300001
18961,488,-7332.154229257256,4864832.493940249
157,489,-7458.26419999823,4864852.0842999965
9658,490,-7324.486511655152,4864813.990040243
188,491,-7390.649026967585,4864785.979925662
3580,492,-7466.963700000197,4864820.413199998
2493,493,-7356.978100001812,4864760.987300001
5557,494,-7457.927200000733,4864831.290899999
14528,495,-7313.731119778007,4864792.063410871
13811,496,-7356.611999999732,4864840.32
6852,497,-7424.812344465405,4864862.992156811
17724,498,-7587.102299999446,4864986.090999998
15722,499,-7390.184700001031,4864838.919100001
14769,500,-7446.673200000077,4864872.394900002
5860,501,-7333.069099999964,4864771.151100002
3015,502,-7356.611999999732,4864840.320100002
10730,503,-7587.041400000453,4864986.057800002
10301,504,-7675.352499999106,4864932.862899996
5093,505,-7527.402600001544,4864929.238300003
15128,506,-7309.849300000817,4864812.695299998
12035,507,-7366.449900001287,4864770.297300004
8029,508,-7632.238800000399,4864988.249200001
15334,509,-7309.849300000817,4864812.695299998
17136,510,-7637.728900000453,4864903.183399998
17165,511,-7609.25039999932,4864978.160700001
3642,512,-7312.58323821798,4864797.236874931
428,513,-7361.5406999997795,4864765.608599998
13349,514,-7317.526099998504,4864794.559299998
7495,515,-7537.241000000387,4864895.7321000025
12251,516,-7516.52670000121,4864844.624799997
9848,517,-7643.385099999607,4864928.0748
9260,518,-7572.053273737431,4864882.367118061
8978,519,-7633.205600000918,4864965.108800001
2359,520,-7367.458799999207,4864841.782799996
673,521,-7537.339899998158,4864895.785400003
10672,522,-7316.90680000186,4864818.2918
19543,523,-7568.72309999913,4864876.6818
13448,524,-7555.068599998951,4864885.213299997
10659,525,-7372.802900001407,4864849.3028
2820,526,-7363.282299999148,4864844.0207
12019,527,-7332.108800001442,4864822.170999996
13661,528,-7313.731119778007,4864792.063410871
2791,529,-7356.010200001299,4864762.5402000025
7163,530,-7643.385099999607,4864928.0748
8821,531,-7381.686900001019,4864845.7553
19887,532,-7394.577824883163,4864836.924705662
15056,533,-7421.30021238327,4864859.197052851
1326,534,-7506.731899999082,4864850.684
5145,535,-7469.328741654754,4864834.110160768
6818,536,-7351.266699999571,4864837.354500003
7735,537,-7661.558200001717,4864934.343599997
9973,538,-7638.807999998331,4864907.044100001
8106,539,-7603.192400000989,4864981.479000002
1650,540,-7535.393652174622,4864948.026025452
14092,541,-7390.734700001776,4864835.034999996
16654,542,-7641.81230000034,4864922.313900001
7140,543,-7639.417199999094,4865001.277099997
435,544,-7348.898200001568,4864756.556000002
9033,545,-7616.688900001347,4864976.028099999
15119,546,-7332.108800001442,4864822.170999996
15116,547,-7337.716099999845,4864825.2817
18177,548,-7635.299400001764,4864966.343500003
2562,549,-7411.2507000006735,4864792.7678999975
19013,550,-7352.555199999362,4864833.5141
3200,551,-7405.225800000131,4864808.256200001
8952,552,-7637.002399999648,4864905.532300003
13643,553,-7375.028700001538,4864855.459899999
18847,554,-7355.502279676497,4864846.027787849
17413,555,-7645.088700000197,4864948.9595
4831,556,-7304.483600001782,4864820.875299998
18934,557,-7322.587600000203,4864821.443499997
17046,558,-7596.20320000127,4864981.900200002
15634,559,-7337.716099999845,4864825.2817
17832,560,-7618.763300001621,4864975.433799997
5660,561,-7423.060899998993,4864877.686099999
14985,562,-7453.170400001109,4864828.667000003
4491,563,-7313.731119778007,4864792.063410871
13744,564,-7324.080699998885,4864817.717
19610,565,-7352.940799999982,4864762.802699998
14860,566,-7423.060899998993,4864877.686099999
10290,567,-7632.238800000399,4864988.249200001
280,568,-7347.108300000429,4864748.045599997
12105,569,-7524.514299999922,4864934.194600001
17952,570,-7667.339800000191,4864936.697800003
10016,571,-7639.35000000149,4865001.098099999
11735,572,-7352.940799999982,4864762.802699998
10599,573,-7510.211205821484,4864949.287095763
1643,574,-7526.554266966879,4864919.341289513
1889,575,-7353.723400000483,4864834.1625000015
11761,576,-7395.213199999183,4864786.255199999
11260,577,-7689.513399999589,4864928.736100003
11676,578,-7336.944299999624,4864764.039300002
3597,579,-7427.111388426274,4864903.13028191
2998,580,-7337.394799999893,4864763.226999998
10201,581,-7372.802900001407,4864849.3028
18742,582,-7356.451670821756,4864831.50025785
3195,583,-7331.747999999672,4864767.318000004
19044,584,-7314.611699998379,4864800.712399997
9908,585,-7616.688900001347,4864976.028099999
7689,586,-7640.98050000146,4865006.785599999
18286,587,-7609.25039999932,4864978.160700001
19327,588,-7516.198399998248,4864889.940200001
5983,589,-7417.558400001377,4864893.060199998
575,590,-7482.456176027656,4864901.429579936
7054,591,-7417.558400001377,4864893.060199998
1352,592,-7528.816401548684,4864959.430612221
3905,593,-7316.867199998349,4864813.714900002
17600,594,-7587.102299999446,4864986.090999998
18940,595,-7304.483600001782,4864820.875299998
4157,596,-7374.897300001234,4864855.5392
17639,597,-7636.638000000268,4864899.473099999
10839,598,-7635.6803999990225,4864966.449299999
505,599,-7403.7360000014305,4864789.018399999
2857,600,-7313.731119778007,4864792.063410871
6272,601,-7359.913360092789,4864833.420775659
1432,602,-7562.186200000346,4864866.785099998
11383,603,-7634.477000001818,4864984.097499996
13883,604,-7321.038300000131,4864820.583800003
9896,605,-7633.205600000918,4864965.108800001
7494,606,-7390.620600000024,4864836.055799998
5955,607,-7359.297899998724,4864837.255099997
10868,608,-7594.736999999732,4864983.902400002
4370,609,-7468.870245195925,4864827.937682956
16242,610,-7637.177999999374,4864993.520599999
8857,611,-7311.216361027211,4864796.460957848
5202,612,-7318.694800000638,4864795.302100003
610,613,-7407.379599999636,4864799.6941
11991,614,-7396.255971133709,4864776.28465306
7394,615,-7386.70956633985,4864847.370468892
10113,616,-7325.052900001407,4864818.703599997
18676,617,-7310.764899998903,4864807.6461
15264,618,-7421.1453999988735,4864865.389200002
8586,619,-7643.117800001055,4864947.830799997
18899,620,-7384.673000000417,4864840.373300001
8092,621,-7640.98050000146,4865006.785599999
17531,622,-7646.805700000375,4864925.951300003
9828,623,-7639.077799998224,4865011.763999999
3451,624,-7417.502300001681,4864893.0326000005
13633,625,-7578.46197155118,4864869.381579727
17507,626,-7682.084399998188,4864930.865400001
18440,627,-7640.98050000146,4865006.785599999
9550,628,-7603.154500000179,4864981.489799999
14459,629,-7372.802999999374,4864849.302699998
17402,630,-7661.735899999738,4864938.303900003
15643,631,-7315.743400000036,4864802.071500003
10452,632,-7631.8949000015855,4864981.9169000015
9463,633,-7635.6803999990225,4864966.449299999
3947,634,-7445.557873841375,4864826.589670561
18890,635,-7390.734700001776,4864835.035099998
